"N","rxx","bias","abX","abSD","percX.err","percSD.err","percX.bi","percSD.bi","percX.biWerr","percSD.biWerr","t.omni.err.t","t.omni.err.p","t.omni.biased.t","t.omni.biased.p","t.omni.biasedWerr.t","t.omni.biasedWerr.p","t.low.err.t","t.low.err.p","t.low.biased.t","t.low.biased.p","t.low.biasedWerr.t","t.low.biasedWerr.p","t.hi.err.t","t.hi.err.p","t.hi.biased.t","t.hi.biased.p","t.hi.biasedWerr.t","t.hi.biasedWerr.p"
80,0.1,1,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-3.56845086005884,0.00205041809353008,-4.99228700957908,8.08810011011427e-05,-8.15636158587075,1.25569521395414e-07,-3.56845086005884,0.00205041809353008,-4.99228700957908,8.08810011011427e-05,-8.15636158587075,1.25569521395414e-07
80,0.1,2,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.70013352959156,0.000155875170333847,-22.6778683805536,3.20632743233953e-15,-20.944472253772,1.3742628081775e-14,-4.70013352959156,0.000155875170333847,-22.6778683805536,3.20632743233953e-15,-20.944472253772,1.3742628081775e-14
80,0.1,3,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.45078912211349,0.000274168944687929,-22.6778683805536,3.20632743233953e-15,-21.5889577399809,7.8994041752496e-15,-4.45078912211349,0.000274168944687929,-22.6778683805536,3.20632743233953e-15,-21.5889577399809,7.8994041752496e-15
80,0.1,4,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.38999730891888,0.000314800044331058,-22.6778683805536,3.20632743233953e-15,-19.8590892681304,3.62145064932085e-14,-4.38999730891888,0.000314800044331058,-22.6778683805536,3.20632743233953e-15,-19.8590892681304,3.62145064932085e-14
80,0.1,5,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-3.83630729978276,0.0011135463717316,-22.6778683805536,3.20632743233953e-15,-21.1191973969047,1.18088445173002e-14,-3.83630729978276,0.0011135463717316,-22.6778683805536,3.20632743233953e-15,-21.1191973969047,1.18088445173002e-14
80,0.1,6,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.09760977056689,0.000613083346731779,-22.6778683805536,3.20632743233953e-15,-21.6362587986286,7.58939875286997e-15,-4.09760977056689,0.000613083346731779,-22.6778683805536,3.20632743233953e-15,-21.6362587986286,7.58939875286997e-15
80,0.1,7,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.62693801532243,0.000183906035338668,-22.6778683805536,3.20632743233953e-15,-23.207384108627,2.09833203165651e-15,-4.62693801532243,0.000183906035338668,-22.6778683805536,3.20632743233953e-15,-23.207384108627,2.09833203165651e-15
80,0.1,8,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.51790222756752,0.000235425815112416,-22.6778683805536,3.20632743233953e-15,-22.5059436057513,3.68685596132899e-15,-4.51790222756752,0.000235425815112416,-22.6778683805536,3.20632743233953e-15,-22.5059436057513,3.68685596132899e-15
80,0.1,9,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.47220932086686,0.000261149869676155,-22.6778683805536,3.20632743233953e-15,-22.4506976827617,3.85688239490873e-15,-4.47220932086686,0.000261149869676155,-22.6778683805536,3.20632743233953e-15,-22.4506976827617,3.85688239490873e-15
80,0.1,10,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.51893702047603,0.000234873890726841,-22.6778683805536,3.20632743233953e-15,-21.702995899288,7.17357844847802e-15,-4.51893702047603,0.000234873890726841,-22.6778683805536,3.20632743233953e-15,-21.702995899288,7.17357844847802e-15
